fixed_vignette,polarity,trait,vignette,sentence,verb,verb_object,verb_and_object,valence,bagOfWords,Intent,Meaning,Context Meaning,score
You always punching little brother when told not to.,negative,uncooperative,Always punching little brother when told not to.,you always punching little brother told,punching,punching you, ,3.27,to be talkative,"[['none'], ['mean'], ['happy'], ['have', 'fun'], ['mean', '.'], ['stay'], ['have', 'a', 'good', 'time'], ['make', 'persony', 'happy'], ['make', 'a', 'good', 'impression'], ['get', 'to', 'know', 'persony']]","['pest', 'dof', 'dog', 'dogs', 'lay', 'adam', 'counting', 'bate', 'brat', 'kid', 'seth', 'duty', 'oboe', 'uke', 'pouncing', 'tenor', 'die', 'dir', 'strike', 'dump', 'dumping', 'punch', 'coin', 'typing', 'burr', 'negus', 'pinhole', 'snob', 'pound', 'pounded', 'iphone', 'round', 'bear', 'ali', 'ever', 'field', 'flied', 'fillip', 'din', 'hand', 'pitch', 'pitched', 'checking', 'stepping', 'steps', 'part', 'urine', 'epanadiplosis', 'patt', 'confirmation', 'relation', 'all', 'foster', 'fostering', 'hesperus', 'jacob', 'romulus', 'step-', 'twin', 'know', 'dear', 'sister', 'lady', 'black', 'billy', 'person', 'record', 'recorded', 'dall', 'fall', 'falls', 'granduncle', 'tethys', 'porcelain', 'count', 'adventurous', 'day', 'kind', 'mandrake', 'devil', 'jude', 'methodist', 'dam', 'put', '-en', 'abraham', 'brown', 'cannel coal', 'eraser', 'essay', 'killifish', 'kingsnake', 'lifeblood', 'maranatha', 'nay', 'presbytery', 'psychophysics', 'ptolemaic', 'putative', 'ravel']","{'punching told not': ['punchy', 'untold', 'unaware', 'incommunicable', 'psyche', 'nobody', 'prejudicial', 'record', 'recorded', 'hearsay evidence', 'might', 'mit', 'punch', 'awl', 'burr', 'pouncing', 'puncheon', 'shoot', 'joke', 'brutality', 'dump', 'dumping', 'stylus', 'bag', 'dog', 'belt', 'bore', 'butt', 'butted', 'character', 'dagger', 'fever', 'handball', 'hook', 'kipper', 'miss', 'negus', 'picket', 'picketing', 'shoe', 'shoeing', 'slay', 'stick', 'sticker', 'stong', 'strong', 'synthesizer', 'violence', 'unofficial', 'batlet']}",0.76
You not listening to an elder.,negative,uncooperative,Not listening to an elder.,you listening elder,listening,listening you, ,6.91,to relax.,"[['none'], ['have', 'fun'], ['happy'], ['mean'], ['with', 'someone'], ['a', 'good', 'friend'], ['have', 'a', 'good', 'time'], ['make', 'a', 'good', 'impression'], ['make', 'the', 'other', 'person', 'happy'], ['have', 'a', 'good', 'time', '.']]","['foster', 'hearken', 'monitoring', 'understand', 'are', 'bug', 'bugged', 'bugging', 'den', 'ear', 'easy', 'hear', 'heard', 'look', 'nug', 'radio', 'shoot', 'yeah', 'yes', 'bishop', 'liza', 'reformed', 'accurate', 'adn', 'advert', 'advise', 'advising', 'aerial', 'affiliate', 'age', 'aida', 'alarum', 'alto', 'amd', 'amp', 'and', 'ane', 'ans', 'answer', 'answering', 'antecedent', 'antechamber', 'antenna', 'ape', 'appear', 'appearing', 'apperception', 'ash', 'aurally', 'back', 'badin', 'bak', 'bandy', 'basin', 'beethoven', 'blush', 'bong', 'boom', 'borrow', 'borrowing', 'bourree', 'break', 'brush', 'buzz', 'buzzing', 'calamus', 'carpenter', 'cast', 'casted', 'catechetical', 'cell', 'ceraunoscope', 'chef', 'chime', 'chums', 'chunk', 'chunking', 'clack', 'class day', 'clop', 'clunk', 'clunking', 'cock', 'collimator', 'commonsense', 'communicate', 'corn silk', 'crapehanger', 'creak', 'credit', 'credited', 'credits', 'cru', 'cry', 'cup', 'cupped', 'cups', 'curtail dog', 'cuts', 'dailies']","{'listening to an': ['easy', 'hear', 'heard', 'hearing', 'heed', 'heeded', 'listen', 'listened', 'listens', 'look', 'monitoring', 'motherfucker', 'play', 'receive', 'received', 'receiving', 'tuned', 'alert', 'are', 'gets', 'hello', 'receives', 'attention', 'attentive', 'audience', 'auscultation', 'belongs', 'bug', 'bugged', 'bugging', 'copy', 'cutaway', 'deaf', 'ear', 'earshot', 'eavesdropping', 'harken', 'hearken', 'listenable', 'playback', 'rapt', 'say', 'tap', 'tapped', 'tapping', 'understand', 'understood', 'unreasonable', 'wiretap', 'arrected']}",0.88
You not listening to a doctors advice.,negative,uncooperative,Not listening to a doctors advice.,you listening doctors advice,listening,listening you, ,6.91,to be healthy,"[['none'], ['help'], ['healthy'], ['helpful'], ['get', 'information'], ['get', 'help'], ['a', 'good', 'person'], ['get', 'something', 'done'], ['get', 'a', 'good', 'grade'], ['get', 'a', 'good', 'job']]","['consultation', 'heed', 'attention', 'auscultation', 'foster', 'look', 'nurse', 'listen', 'doctor', 'physician', 'physicians', 'attending', 'health', 'healthcare', 'hospital', 'beware', 'caution', 'outpatient', 'wholesome', 'application', 'babysit', 'behold', 'caring', 'concern', 'contemplate', 'cough', 'cultivate', 'examine', 'fend', 'guard', 'healthful', 'healthy', 'hospitalize', 'keep', 'keeps', 'kook', 'looks', 'mind', 'minister', 'note', 'observant', 'observe', 'over', 'percussion', 'physical education', 'prognosis', 'reck', 'regard', 'regimen', 'residency', 'respect', 'respected', 'respects', 'see', 'student', 'tend', 'tent', 'tentatively', 'watch', 'aid', 'assistance', 'charge', 'charged', 'charging', 'diet', 'slide', 'treatment', 'surgeon', 'valid', 'accept', 'accepted', 'accepting', 'acoustic', 'attend', 'attended', 'business', 'care', 'choice', 'considered', 'considering', 'contraindicate', 'detail', 'disregard', 'disregarded', 'disregarding', 'dissipation', 'entertain', 'father', 'fostering', 'gain', 'gaining', 'here', 'ill', 'infirmary', 'mindfulness', 'mother', 'neglect', 'neglected', 'observance', 'observation']","{'listening to a doctors': ['stethoscope', 'attention', 'attentive', 'auscultation', 'foster', 'heed', 'listen', 'look', 'attending', 'biopsy', 'commencement', 'delirium', 'doc', 'doctor', 'endoscopy', 'health', 'healthcare', 'hospital', 'medicine', 'nurse', 'physician', 'physicians', 'drowning', 'easy', 'hello', 'monitoring', 'tap', 'tapped', 'tapping', 'yeah', 'yes', 'accept', 'accepted', 'accepting', 'acoustic', 'acute', 'aid', 'ail', 'anat', 'anatomy', 'anesis', 'application', 'aprosexia', 'assiduity', 'assistance', 'attend', 'attended', 'aural', 'auscultate', 'babysit']}",0.79
You refusing to adapt to the new changes.,negative,uncooperative,Refusing to adapt to the new changes.,you refusing adapt new changes,refusing,refusing you, ,,improve their well-being,"[['none'], ['the', 'best'], ['noticed'], ['@@UNKNOWN@@'], ['a', 'star'], ['have', 'fun'], ['win'], ['a', 'winner'], ['make', 'a', 'decision'], ['a', 'good', 'singer']]","['conservative', 'acclimatize', 'adjust', 'adaptively', 'innovate', 'recycle', 'revise', 'adjusting', 'convert', 'port', 'ports', 'revised', 'revising', 'broom', 'new broom', 'recycling', 'adaptation', 'change', 'microevolution', 'reorganization', 'shakeup', 'breakthrough', 'gradualism', 'metabolism', 'lunate', 'mak', 'inflect', 'fluid', 'modified', 'modify', 'modifying', 'decline', 'processing', 'foul', 'process', 'conservatism', 'degenerate', 'issue', 'processed', 'rot', 'repel', 'snap', 'switchover', 'fold', 'run', 'traverse', 'balance', 'deny', 'rebuff', 'break', 'block', 'turn', 'edit', 'make', 'redact', 'take', 'wash', 'reaction', 'liberalism', 'reformation', 'regressive', 'traffic', 'trafficking', 'convention', 'distance', 'distancing', 'soft', 'trouble', 'counter', 'heretic', 'mixed', 'oscillate', 'retard', 'retrograde', 'stong', 'strong', 'metastasis', 'accommodation', 'back', 'exchange', 'spin', 'clean', 'grace', 'lift', 'luft', 'door', 'give', 'solid', 'trimmer', 'case', 'open', 'test', 'turnover', 'bridge', 'buffer', 'buffing', 'close', 'gracefulness', 'graces', 'inertia']","{'refusing adapt to the new': ['adjust', 'acclimatize', 'adaptively', 'recycle', 'naturalize', 'acclimate', 'acclimated', 'adjusting', 'conform', 'convert', 'port', 'ports', 'readapt', 'reeducation', 'black muslim', 'gear down', 'recycled', 'recycling', 'pass', 'passed', 'balking', 'holdout', 'tease', 'mak', 'readjust', 'put', 'misfit', 'hang', 'have', 'mute', 'ali', 'negative', 'audible', 'cancel', 'issue', 'plead', 'pleaded', 'immune system', 'absurd', 'auction bridge', 'cancelled', 'dipping', 'discriminator', 'dissent', 'error', 'forfeit', 'forfeited', 'forfeits', 'hyperthermia', 'inflect']}",0.82
You whining about the task you have been asked to do.,negative,uncooperative,Whining about the task you have been asked to do.,you whining task asked,whining,whining you, ,2.82,asks,"[['none'], ['happy'], ['mean'], ['have', 'fun'], ['have', 'a', 'good', 'time'], ['a', 'good', 'friend'], ['make', 'a', 'good', 'impression'], ['make', 'persony', 'happy'], ['make', 'someone', 'happy'], ['have', 'a', 'good', 'time', '.']]","['cant', 'call', 'calling', 'demand', 'cry', 'appeal', 'raise', 'stop', 'stops', 'aut', 'birdcall', 'caw', 'cru', 'farragut', 'gag', 'gagging', 'hollo', 'impatient', 'lawsuit', 'mama', 'nurse', 'out', 'rah', 'yap', 'challenge', 'smap', 'snap', 'put', 'bark', 'bellman', 'bravo', 'cheer', 'cluck', 'crow', 'cut', 'here', 'hey', 'hoot', 'invoke', 'limpkin', 'loud', 'lure', 'luring', 'mine', 'more', 'plead', 'ready', 'reclaim', 'reclaimed', 'send', 'shout', 'song', 'stand', 'weep', 'withdraw', 'come', 'land', 'charge', 'order', 'ask', 'calls', 'quit', 'see', 'yes', 'alarm', 'complaint', 'crying', 'extra', 'night', 'over', 'arise', 'say', 'action', 'attack', 'draw', 'drill', 'forward', 'help', 'man', 'pipe', 'pull', 'sell', 'shoulder', 'again', 'aim', 'all', 'bar', 'bid', 'bray', 'crank', 'cranking', 'cranks', 'credit', 'credited', 'credits', 'cross', 'defense', 'desperate', 'done', 'ensign']","{'whining task asked to': ['cant', 'call', 'calling', 'demand', 'cry', 'appeal', 'raise', 'stop', 'stops', 'aut', 'birdcall', 'caw', 'cru', 'farragut', 'gag', 'gagging', 'hollo', 'impatient', 'lawsuit', 'mama', 'nurse', 'out', 'rah', 'yap', 'challenge', 'smap', 'snap', 'put', 'bark', 'bellman', 'bravo', 'cheer', 'cluck', 'crow', 'cut', 'here', 'hey', 'hoot', 'invoke', 'limpkin', 'loud', 'lure', 'luring', 'mine', 'more', 'plead', 'ready', 'reclaim', 'reclaimed', 'send']}",0.76
You giving the silent treatment.,negative,uncooperative,Giving the silent treatment.,you giving silent treatment,giving,giving you, ,7.73,to impress someone,"[['none'], ['happy'], ['mean'], ['have', 'fun'], ['a', 'good', 'friend'], ['have', 'a', 'good', 'time'], ['a', 'good', 'person'], ['have', 'a', 'relationship'], ['get', 'to', 'know', 'them'], ['get', 'to', 'know', 'the', 'other', 'person']]","['mute', 'acquiescence', 'tacit', 'idealism', 'pantomime', 'clinic', 'speech', 'preferential', 'favouritism', 'dry', 'sry', 'considerate', 'drop', 'careful', 'caveat', 'direct', 'explain', 'give', 'glazing', 'potlatch', 'returns', 'yield', 'alarm', 'calm', 'free', 'kind', 'persistent', 'approvement', 'khomeini', 'assisted', 'balsamic', 'banner', 'book', 'call', 'charge', 'charged', 'charging', 'commission', 'dictionary', 'docket', 'dosage', 'easy', 'execution', 'for', 'form', 'issue', 'label', 'labeled', 'labelled', 'letting', 'sedate', 'send', 'soft', 'throw', 'tricky', 'turn', 'warrant', 'immunotherapy', 'reaction', 'slat', 'tender', 'test', 'triage', 'ozone', 'perm', 'spurn', 'concede', 'aida', 'almira', 'andean', 'andes', 'audit', 'auditing', 'aurora', 'axel', 'banal', 'barb', 'basil', 'batrachia', 'bribe', 'canvass', 'canvasses', 'canvassing', 'cease and desist order', 'cedar', 'command', 'communicate', 'conchology', 'connive', 'conniving', 'consul', 'contact', 'contact lens', 'contacts', 'contrary', 'cornelia', 'count', 'counting', 'cyclopaedia', 'cyclopedia']","{'giving the silent': ['mute', 'acquiescence', 'tacit', 'nod', 'quiet', 'bow', 'dry', 'fall', 'noel', 'prayer', 'pronunciation', 'rest', 'smile', 'sry', 'tact', 'assisted', 'assure', 'aut', 'balsamic', 'banner', 'bond', 'book', 'booth', 'call', 'careful', 'caveat', 'charge', 'charged', 'charging', 'clear', 'cleared', 'commission', 'conjugation', 'considerate', 'countermand', 'deponent', 'dictionary', 'direct', 'docket', 'dosage', 'drop', 'easy', 'efficiency', 'electric ray', 'execution', 'explain', 'file', 'fire', 'for', 'form']}",0.93
You not helping on homework even though you know what to do.,negative,uncooperative,Not helping on homework even though you know what to do.,you helping homework even though know,helping,helping you, ,6.95,to get a raise,"[['none'], ['happy'], ['healthy'], ['mean'], ['have', 'fun'], ['do', 'well'], ['a', 'good', 'friend'], ['make', 'a', 'good', 'impression'], ['have', 'a', 'good', 'time'], ['do', 'something', 'else']]","['understand', 'all', 'chin', 'emergency', 'but', 'declare', 'key', 'keying', 'keys', 'panopticon', 'cooperation', 'invalid', 'close', 'seed', 'tempt', 'help', 'deacon', 'horse', 'serve', 'much', 'precinct', 'wing', 'hear', 'mine', 'utility', 'apprehend', 'fable', 'aid', 'nepotism', 'alto-rilievo', 'bar', 'barred', 'bars', 'paralegal', 'var', 'moral', 'knowledge', 'iceman', 'independent', 'tenure', 'recognize', 'part', 'patt', 'hump', 'solo', 'pay', 'chair', 'model', 'jack', 'jacked', 'jacking', 'jacks', 'let', 'round', 'admit', 'hope', 'hoping', 'crib', 'roll', 'die', 'dir', 'let in', 'bulk', 'channel', 'channelling', 'channels', 'cosmetic', 'devil', 'double', 'ground', 'grounded', 'loaf', 'shoulder', 'shouldering', 'shoulders', 'suite', 'face', 'have', 'module', 'rolled', 'bring', 'bringing', 'carry', 'frame', 'individual', 'park', 'rest', 'rested', 'slip', 'palimony', 'more', 'good', 'second', 'education', 'aided', 'aif', 'aud', 'header', 'seconds', 'say']","{'helping know what to': ['understand', 'education', 'see', 'help', 'get', 'prediction', 'yeah', 'dig', 'yes', 'cognizance', 'hear', 'say', 'that', 'then', 'check', 'checking', 'current', 'follow', 'how', 'mak', 'make', 'mean', 'understanding', 'you', 'got', 'hope', 'hoping', 'includes', 'listen', 'look', 'sympathize', 'bread', 'facebook', 'knowing', 'understood', 'teresa', 'theresa', 'realize', 'aporia', 'captured', 'examination', 'knowledge', 'seeing', 'connotation', 'imagine', 'included', 'intension', 'ken', 'ail', 'distinguish']}",0.74
You ditching one friend because another has more plans that night.,negative,uncooperative,Ditching one friend because another has more plans that night.,you ditching one friend another plans night,ditching,ditching you, ,3.2,to go home,"[['none'], ['mean'], ['happy'], ['have', 'fun'], ['a', 'good', 'friend'], ['with', 'someone'], ['have', 'a', 'good', 'time'], ['make', 'a', 'good', 'impression'], ['a', 'good', 'person'], ['have', 'a', 'good', 'time', '.']]","['open', 'jump', 'put', 'turn', 'associate', 'sister', 'hand', 'adopt', 'sandbag', 'box', 'friendly', 'lover', 'familiar', 'confidant', 'valentine', 'pass', 'turned', 'sleepover', 'change', 'bedfellow', 'back', 'borrow', 'hold', 'pledge', 'remove', 'clear', 'stand', 'parallel', 'drop', 'dump', 'keep', 'shadow', 'sympathy', 'favor', 'token', 'close', 'look', 'stop', 'credit', 'day', 'home', 'break', 'kook', 'looks', 'root', 'lead', 'roots', 'service', 'services', 'servicing', 'counsel', 'telegraph', 'blight', 'goose', 'lieutenant', 'tracer', 'pitch', 'plagiarize', 'spy', 'workout', 'plagiarism', 'cards', 'tattle', 'incorporate', 'represent', 'kidnap', 'betray', 'desert', 'bunk', 'owl', 'comrade', 'jones', 'shift', 'gossip', 'near', 'moonlighting', 'housebreaking', 'intimate', 'share', 'fellow', 'bet', 'ally', 'companion', 'sidekick', 'desertion', 'shared', 'sharing', 'casey jones', 'john luther jones', 'outlive', 'stepbrother', 'faith', 'half-brother', 'half-sister', 'surrender', 'cross', 'unveil', 'fealty', 'stuffy', 'conversion']","{'ditching has plans that': ['goudron', 'siren', 'berm', 'box', 'drain', 'scrap', 'skip', 'sap', 'steeplechase', 'ditch', 'battle of wake', 'battle of wake island', 'blind', 'clear', 'cleared', 'counterscarf', 'cuts', 'discard', 'dump', 'excavator', 'fort', 'fortified', 'fortify', 'henge', 'irrigate', 'irrigation', 'moat', 'moated', 'relief', 'stet', 'suren', 'vallum', 'xanthidium', 'abandon', 'abandoned', 'attend', 'banquette', 'barrow', 'canal', 'carom', 'cip', 'cop', 'desert', 'dig', 'dike', 'ditched', 'drainage', 'drop', 'dyke', 'eliminate']}",0.9
You not playing on first base because you don't like it.,negative,uncooperative,Not playing on first base because you don't like it.,you playing first base like,playing,playing you, ,7.55,participate in a sport,"[['none'], ['happy'], ['mean'], ['win'], ['healthy'], ['competitive'], ['@@UNKNOWN@@'], ['have', 'fun'], ['mean', '.'], ['make', 'a', 'good', 'impression']]","['single', 'lead', 'play', 'drag', 'ground', 'grounded', 'singling', 'serve', 'key', 'pedestal', 'slide', 'ball', 'ten', 'full', 'pass', 'muffin', 'seraphine', 'steel', 'spade', 'shift', 'game', 'keying', 'keys', 'architect', 'cartwheel', 'card', 'club', 'principal', 'radical', 'claw', 'dack', 'sack', 'sacked', 'foul', 'fouled', 'fouling', 'cain', 'coach', 'opposite', 'basal', 'classic', 'err', 'original', 'corm', 'pile', 'plinth', 'one', 'begin', 'duplicate', 'hoop', 'infield', 'baseman', 'first base', 'sandbag', 'team', 'open', 'first baseman', 'basicity', 'schoolyard', 'cordate', 'fan-tan', 'tongue', 'sudden death', 'tarot', 'first sacker', 'barrage', 'playback', 'away', 'tem', 'mallet', 'outfield', 'scorer', 'bob', 'piping', 'protagonist', 'trey', 'backswing', 'walk-through', 'narrator', 'corner', 'fair ball', 'raceme', 'safe', 'inbounds', 'bag', 'socle', 'blank', 'aboard', 'cere', 'priming', 'stipule', 'pes', 'stretch', 'stretched', 'heel', 'heeled', 'heels', 'turbinated', 'vile', 'blanking']","{""playing because you do n't it"": ['play', 'revoke', 'matching', 'incapable', 'nono', 'check', 'checking', 'cat', 'contraction', 'tow', 'city', 'saga', 'bumble', 'surprised', 'virtue', 'hobby', 'mockery', 'rebellion', 'clash', 'clashing', 'invite', 'seal', 'square', 'line', 'bet', 'order', 'die', 'uno', 'hand', 'loop', 'tear', 'act', 'deal', 'snap', 'excuse', 'struggle', 'duck', 'ducks', 'wall', 'game', 'keep', 'move', 'pass', 'drum', 'gate', 'high', 'time', 'timing', 'incompetency', 'judge']}",0.88
You not wanting to watch a movie that everyone wants to watch.,negative,uncooperative,Not wanting to watch a movie that everyone wants to watch.,you wanting watch movie everyone wants watch,wanting,wanting you, ,6.0,diversion,"[['none'], ['have', 'fun'], ['mean'], ['happy'], ['a', 'good', 'friend'], ['with', 'someone'], ['have', 'a', 'good', 'time'], ['make', 'a', 'good', 'impression'], ['see', 'the', 'other', 'person'], ['get', 'to', 'know', 'the', 'other', 'person']]","['other', 'preview', 'previews', 'illustration', 'aspire', 'checking', 'stop', 'person', 'tease', 'catch', 'good', 'management', 'matter', 'take', 'fire', 'fish', 'nerd', 'call', 'convert', 'think', 'account', 'valet', 'see', 'care', 'caring', 'monitoring', 'sound', 'thunk', 'carry', 'plum', 'tend', 'tending', 'free', 'methamphetamine', 'charity', 'wish', 'puntland', 'relieve', 'look', 'wayward', 'caretaker', 'herself', 'hobbism', 'homeopathy', 'international wanted notice', 'leading', 'microeconomics', 'multitude', 'negligence', 'obstruction of justice', 'red notice', 'salafi movement', 'salafism', 'snob', 'tantalize', 'tantalizing', 'attention', 'bloody', 'others', 'check', 'fasting', 'want', 'kiss', 'will', 'advertise', 'anger', 'approach', 'bum', 'contingency', 'courtship', 'demand', 'dictate', 'earnestness', 'end', 'fear', 'hate', 'hated', 'haye', 'heir', 'hopeful', 'indulge', 'liberty', 'libido', 'narcissism', 'occasion', 'occasions', 'satisfy', 'schopenhauer', 'secularism', 'self-will', 'taiwan', 'tenant', 'uniform', 'word', 'mean', 'enough', 'mak', 'make', 'satisfaction', 'hope']","{'wanting watch movie wants to': ['preview', 'previews', 'tease', 'blank', 'blanking', 'flat', 'good', 'hold', 'illustration', 'admit', 'aspire', 'checking', 'seek', 'pendulum', 'quit', 'stop', 'burn', 'die', 'nerd', 'call', 'convert', 'door', 'fancy', 'fire', 'inertia', 'joy', 'think', 'trigger', 'catch', 'respect', 'triggered', 'triggering', 'see', 'care', 'caring', 'stag', 'person', 'account', 'take', 'monitoring', 'fish', 'lasso', 'sound', 'thunk', 'leaden', 'matter', 'button', 'carry', 'management', 'survey']}",0.84
